message;severity;node;stamp;location
"Server planner_server connected with bond.";"20";"robot_0.lifecycle_manager_navigation";"1771375432.614640463";"./src/lifecycle_manager.cpp:createBondConnection:205"
"Creating bond (planner_server) to lifecycle manager.";"20";"robot_0.planner_server";"1771375431.627872628";"./src/lifecycle_node.cpp:createBond:58"
"Activating plugin GridBased of type NavfnPlanner";"20";"robot_0.planner_server";"1771375431.485886952";"./src/navfn_planner.cpp:activate:103"
"Activating";"20";"robot_0.planner_server";"1771375430.274534324";"./src/planner_server.cpp:on_activate:171"
"[34m[1mActivating planner_server[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375430.080973674";"./src/lifecycle_manager.cpp:message:504"
"Server smoother_server connected with bond.";"20";"robot_0.lifecycle_manager_navigation";"1771375430.080856946";"./src/lifecycle_manager.cpp:createBondConnection:205"
"[34m[1mActivating smoother_server[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375429.775146927";"./src/lifecycle_manager.cpp:message:504"
"Server controller_server connected with bond.";"20";"robot_0.lifecycle_manager_navigation";"1771375429.775016876";"./src/lifecycle_manager.cpp:createBondConnection:205"
"Creating bond (controller_server) to lifecycle manager.";"20";"robot_0.controller_server";"1771375427.437206970";"./src/lifecycle_node.cpp:createBond:58"
"Activating";"20";"robot_0.controller_server";"1771375427.185643784";"./src/controller_server.cpp:on_activate:220"
"[34m[1mActivating controller_server[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375427.139350628";"./src/lifecycle_manager.cpp:message:504"
"[34m[1mConfiguring velocity_smoother[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375427.133772408";"./src/lifecycle_manager.cpp:message:504"
"Created waypoint_task_executor : wait_at_waypoint of type nav2_waypoint_follower::WaitAtWaypoint";"20";"robot_0.waypoint_follower";"1771375427.132527373";"./src/waypoint_follower.cpp:on_configure:87"
"Configuring";"20";"robot_0.waypoint_follower";"1771375427.024444121";"./src/waypoint_follower.cpp:on_configure:54"
"[34m[1mConfiguring waypoint_follower[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375427.023984654";"./src/lifecycle_manager.cpp:message:504"
"Configuring";"20";"robot_0.bt_navigator";"1771375426.596922264";"./src/bt_navigator.cpp:on_configure:108"
"[34m[1mConfiguring bt_navigator[0m[0m";"20";"robot_0.lifecycle_manager_navigation";"1771375426.596321927";"./src/lifecycle_manager.cpp:message:504"
"Configuring wait";"20";"robot_0.behavior_server";"1771375426.543268836";"./include/nav2_behaviors/timed_behavior.hpp:configure:114"
"Creating behavior plugin wait of type nav2_behaviors/Wait";"20";"robot_0.behavior_server";"1771375426.542395085";"./src/behavior_server.cpp:loadBehaviorPlugins:110"
"Configuring assisted_teleop";"20";"robot_0.behavior_server";"1771375426.399423634";"./include/nav2_behaviors/timed_behavior.hpp:configure:114"
"Creating behavior plugin assisted_teleop of type nav2_behaviors/AssistedTeleop";"20";"robot_0.behavior_server";"1771375426.397744347";"./src/behavior_server.cpp:loadBehaviorPlugins:110"
"Configuring drive_on_heading";"20";"robot_0.behavior_server";"1771375426.352995926";"./include/nav2_behaviors/timed_behavior.hpp:configure:114"
"Creating behavior plugin drive_on_heading of type nav2_behaviors/DriveOnHeading";"20";"robot_0.behavior_server";"1771375426.352136602";"./src/behavior_server.cpp:loadBehaviorPlugins:110"
