x,y,z
-2.141786005834943,-0.37727415810205844,-1.6591096355725852
-2.103716261473416,-0.3635257291349141,-1.51074649480417
-2.2047175630328057,-0.36180437778157426,-1.5175107299415982
-2.208123378810978,-0.3217799109703263,-1.5082134042280042
-2.165837817333538,-0.28250386500790503,-1.5031568286616914
-2.2064337915907166,-0.28179351071000935,-1.5103303271498143
-2.2756905565132364,-0.4420863436108111,-1.1656338269679334
-2.257347105718875,-0.4422233831941631,-1.206725122055388
-2.283759576445585,-0.441822526184098,-1.1966147729369645
-2.3362565759920804,-0.4408451684144441,-1.2200530629443558
-2.3384552409056605,-0.4358034229020591,-1.2210513781809749
-2.099834926719004,-0.4048767304003005,-1.2022423356379395
-2.1944003603270072,-0.4036614151899236,-1.1130466704836182
-2.1552702883204997,-0.40420816631362233,-1.1393817052441322
-2.089546249975117,-0.37469990798766295,-1.2853596426733511
-2.2385003980342306,-0.40277223109745885,-1.1491630027662163
-2.267886485694855,-0.4021456232116116,-1.1814478482522284
-2.2648292438957944,-0.40216846314217025,-1.1882963974334708
-2.179351816588613,-0.40071417724010305,-1.2815579165115742
-2.2810507201632104,-0.39704739848287796,-1.1517500609495188
-2.289119928557985,-0.4015799218072542,-1.2319954915548865
-2.3470402730098385,-0.40074014123619306,-1.2003605446826358
-2.3266586610161033,-0.4008924074399174,-1.246017539224252
-2.3264561564068975,-0.4010211301082285,-1.2158109117899736
-2.1229730282307213,-0.36498470991765,-1.0812900049727328
-2.122317144416873,-0.3646334224186021,-1.1686079814612094
-2.097362887612619,-0.3354566317165637,-1.0699559429087229
-2.064752308422643,-0.33570025764252276,-1.143007134175309
-2.0526075314788264,-0.3503835505632491,-1.268951041023611
-2.15239437077026,-0.36382355747304485,-1.2422689654643784
-2.121318695889374,-0.3244637650985751,-1.2121010429001768
-2.1419102181268914,-0.34640230963781193,-1.2650248697578808
-2.194693252916525,-0.3431009697695253,-1.2447938010957045
-2.2588960845464947,-0.3618066942321516,-1.2980322068349595
-2.2994920588036734,-0.36109633993425594,-1.3052057053230823
-2.1138153773520703,-0.32423995904774294,-1.2963618511268196
-2.180090871210623,-0.32321054932688087,-1.2766707338722005
-2.2247631678665485,-0.3224697417882405,-1.2747128334520001
-2.2149003037766053,-0.3227215186396264,-1.25388234247857
-2.2916879879852914,-0.32115561953505645,-1.3210197266073773
-2.0829422070803902,-0.2847514440049621,-1.2964005559968963
-2.1503204064037753,-0.28391733191913704,-1.2251828452295186
-2.1834966869887955,-0.28318608251563293,-1.2673734081586066
-2.227149903045034,-0.2824528882871786,-1.267698357465487
-2.29611288436315,-0.2811235394136222,-1.3094395511667025
-2.365510257678312,-0.5618194615367526,-0.8713190432834398
-2.478126455052667,-0.559756918434742,-0.9133851862915358
-2.347396501119003,-0.5222865078529497,-0.8305111906185867
-2.3425036027297748,-0.5221958517355696,-0.8721320666882691
-2.477497760864665,-0.5198643603368505,-0.8885973875934261
-2.204856663726038,-0.4438367409951869,-1.0299708451495238
-2.2776445274601858,-0.42747918379194694,-1.0625184173904396
-2.1422313026874362,-0.4048144167091017,-1.0459493922319885
-2.228643337648241,-0.3844746449758565,-0.7779585863489671
-2.2204914467004517,-0.4037209144617042,-0.99327932271096
-2.1992932587162355,-0.40375207130730373,-1.0714257944139356
-2.3017664546926757,-0.38811409455786805,-0.8105891219925182
-2.240202928998464,-0.3731673161896558,-1.0459853706367461
-2.287416266819194,-0.4024067922085204,-1.0395862158663371
-2.333959474944202,-0.40124493615906065,-1.1315501035633306
-2.2766806741931096,-0.3699877892843486,-1.062279897607863
-2.2605430112532656,-0.380108105639954,-1.0988469749424736
-2.358417409336684,-0.4010622167145914,-1.076761710113391
-2.3827080939988745,-0.4004736753796754,-1.1204608042348072
-2.333959474944202,-0.40124493615906065,-1.1315501035633306
-2.333959474944202,-0.40124493615906065,-1.1315501035633306
-2.175797969684141,-0.3641829958975198,-1.0610693067358858
-2.241054382943007,-0.3631611994868438,-1.0436610392083474
-2.3766691700128315,-0.36171554014593044,-0.8441142686193941
-2.2899218817417397,-0.3620583050939239,-1.11202211109978
-2.2967274098014094,-0.3594311977975517,-1.1150689089362844
-2.4472164621696133,-0.34790010260691884,-0.8756531551983615
-2.3982586867208635,-0.34576591564770087,-0.9852195716729112
-2.3657319208584595,-0.3510087932699728,-1.0582915037901561
-2.483526580709115,-0.3347220723089859,-0.8919062004681605
-2.4350297785620105,-0.36008376967948896,-1.0015866916213338
-2.3694733668717713,-0.34057401474615534,-1.1476061107518707
-2.3620610275369445,-0.5609735764911281,-0.4864901214810115
-2.445570803402581,-0.5613739998960519,-0.6551825318683373
-2.337310500347666,-0.5628442780028602,-0.7382638604989915
-2.519405879674393,-0.5294492625392295,-0.8196639023772692
-2.413929427126651,-0.5225018309991274,-0.5097728551084615
-2.387510398846283,-0.5222666879778228,-0.6731991911253579
-2.357182297897459,-0.5224678200877098,-0.7472694384792218
-2.488267383363894,-0.5205726038201823,-0.6743786707213464
-2.493803050459653,-0.519742547373871,-0.852071791960133
-2.531257309971708,-0.4972685886814079,-0.6936474025516615
-2.567693148502568,-0.49158943592794446,-0.7099315590974487
-2.5191125330278914,-0.5119518816021345,-0.8195913093999633
-2.380850563231667,-0.4754282095596378,-0.5389680200495504
-2.3447714581642005,-0.4825106318480423,-0.7856672194817999
-2.49398333816513,-0.4529552244717425,-0.6771558374992857
-2.552197406188337,-0.4792055063399554,-0.7441224528770138
-2.549140164389277,-0.479228346270514,-0.7509710020582563
-2.530308079511358,-0.4794199202452649,-0.780892786062832
-2.482048094540243,-0.4801366466332513,-0.8031515964742346
-2.33648531081592,-0.4432604458716114,-0.636995742784743
-2.380633718509374,-0.44310871728312806,-0.49517421627602975
-2.3574809941909303,-0.4433580116943232,-0.5286426436474891
-2.327187488502529,-0.426237406616639,-0.5589813097798089
-2.2781458997262076,-0.41910396796110816,-0.6685269854036998
-2.3150846182224982,-0.443420325385522,-0.6849355870534402
